Номер заказа;Дата заказа;Название товара;Категория товара;Количество продаж;Цена за единицу;Общая стоимость
001;14.05.2024;Яблоки;Фрукты;123;245;30;135
002;14.05.2024;Молоко;Молочные продукты;54;78;4212
003;14.05.2024;Хлеб;Хлебобулочные изделия;87;45;3915
004;14.05.2024;Картофель;Овощи;134;60;8040
005;14.05.2024;Куриное мясо;Мясо;98;546;53;508
006;14.05.2024;Рис;Крупы;43;68;2924
007;14.05.2024;Йогурт;Молочные продукты;34;45;1530
008;14.05.2024;Огурцы;Овощи;23;65;1495
009;14.05.2024;Свинина;Мясо;44;437;19228
010;14.05.2024;Масло растительное;Продукты;32;127;4064
011;14.05.2024;Творог;Молочные продукты;43;125;5375
012;14.05.2024;Помидоры;Овощи;34;76;2584
013;14.05.2024;Гречка;Крупы;56;49;2744
014;14.05.2024;Куринные яйца;Яйца;27;134;3618
015;14.05.2024;Бананы;Фрукты;36;65;2340
016;14.05.2024;Сахар;Продукты;98;43;4214
017;14.05.2024;Свекла;Овощи;58;69;4002
018;14.05.2024;Лосось;Рыба;31;435;13485
019;14.05.2024;Морковь;Овощи;11;43;473
020;14.05.2024;Чай черный;Чай;33;23;759